category,key,description,speaker,text,portrait_slot,portrait_character,portrait_expression,portrait_facing,portrait_animation,portrait_path,note
system,game.title,Game title shown on the main menu.,,未許可の乗客,,,,,,,
ui,ui.main.start,Runtime UI text.,,スタート,,,,,,,
ui,ui.main.continue,Runtime UI text.,,続きから,,,,,,,
ui,ui.main.new_game,Runtime UI text.,,ニューゲーム,,,,,,,
ui,ui.main.save_info_exists,Runtime UI text.,,"最新セーブ：スロット {0} / {1}
メインボタンは最新セーブを読み込みます。ニューゲームは冒頭から始まります。",,,,,,,
ui,ui.main.save_info_empty,Runtime UI text.,,"ローカルセーブ：なし
セーブを作成すると、メインボタンは「スタート」から「続きから」に変わります。",,,,,,,
ui,ui.common.settings,Runtime UI text.,,設定,,,,,,,
ui,ui.common.quit,Runtime UI text.,,終了,,,,,,,
ui,ui.common.exit,Runtime UI text.,,閉じる,,,,,,,
ui,ui.common.back,Runtime UI text.,,戻る,,,,,,,
ui,ui.common.delete,Runtime UI text.,,削除,,,,,,,
ui,ui.hud.save,Runtime UI text.,,セーブ,,,,,,,
ui,ui.hud.load,Runtime UI text.,,ロード,,,,,,,
ui,ui.hud.auto,Runtime UI text.,,オート,,,,,,,
ui,ui.hud.auto_on,Runtime UI text.,,オート中,,,,,,,
ui,ui.hud.skip,Runtime UI text.,,スキップ,,,,,,,
ui,ui.hud.skip_on,Runtime UI text.,,スキップ中,,,,,,,
ui,ui.hud.hide,Runtime UI text.,,非表示,,,,,,,
ui,ui.hud.history,Runtime UI text.,,履歴,,,,,,,
ui,ui.hud.title,Runtime UI text.,,タイトル,,,,,,,
ui,ui.dialogue.continue,Runtime UI text.,,クリックまたはSpaceで続行,,,,,,,
ui,ui.dialogue.choose,Runtime UI text.,,選択してください,,,,,,,
ui,ui.dialogue.typing,Runtime UI text.,,表示中...,,,,,,,
ui,ui.dialogue.skipping,Runtime UI text.,,スキップ中,,,,,,,
ui,ui.explore.title,Runtime UI text.,,調べる場所を選択,,,,,,,
ui,ui.history.title,Runtime UI text.,,履歴ログ,,,,,,,
ui,ui.history.empty,Runtime UI text.,,履歴はまだありません。,,,,,,,
ui,ui.save.title,Runtime UI text.,,セーブ,,,,,,,
ui,ui.load.title,Runtime UI text.,,ロード,,,,,,,
ui,ui.save.action,Runtime UI text.,,保存,,,,,,,
ui,ui.load.action,Runtime UI text.,,読込,,,,,,,
ui,ui.save.slot_empty,Runtime UI text.,,スロット {0}  空,,,,,,,
ui,ui.save.slot_filled,Runtime UI text.,,スロット {0}  {1}  {2}  {3},,,,,,,
ui,ui.save.slot_broken,Runtime UI text.,,スロット {0}  セーブ破損,,,,,,,
ui,ui.settings.text_speed,Runtime UI text.,,文字速度,,,,,,,
ui,ui.settings.auto_delay,Runtime UI text.,,オート間隔,,,,,,,
ui,ui.settings.volume,Runtime UI text.,,音量,,,,,,,
ui,ui.settings.fullscreen,Runtime UI text.,,フルスクリーン,,,,,,,
ui,ui.settings.skip_unread,Runtime UI text.,,未読スキップ許可,,,,,,,
ui,ui.settings.language,Runtime UI text.,,言語：{0},,,,,,,
ui,ui.settings.open_save,Runtime UI text.,,セーブ画面,,,,,,,
ui,ui.settings.open_load,Runtime UI text.,,ロード画面,,,,,,,
ui,ui.settings.open_history,Runtime UI text.,,履歴を見る,,,,,,,
ui,ui.settings.reload_text,Runtime UI text.,,文言再読込,,,,,,,
ui,ui.settings.delete_save,Runtime UI text.,,セーブ削除,,,,,,,
ui,ui.toast.no_save_start_new,Runtime UI text.,,読込可能なセーブがないため、ニューゲームを開始します。,,,,,,,
ui,ui.toast.no_progress_to_save,Runtime UI text.,,保存できる進行状況がありません。,,,,,,,
ui,ui.toast.saved_slot,Runtime UI text.,,スロット {0} に保存しました。,,,,,,,
ui,ui.toast.loaded_slot,Runtime UI text.,,スロット {0} を読み込みました。,,,,,,,
ui,ui.toast.deleted_slot,Runtime UI text.,,スロット {0} を削除しました。,,,,,,,
ui,ui.toast.all_saves_deleted,Runtime UI text.,,ローカルセーブを削除しました。,,,,,,,
ui,ui.toast.auto_on,Runtime UI text.,,オート：オン,,,,,,,
ui,ui.toast.auto_off,Runtime UI text.,,オート：オフ,,,,,,,
ui,ui.toast.skip_on,Runtime UI text.,,スキップ：オン,,,,,,,
ui,ui.toast.skip_off,Runtime UI text.,,スキップ：オフ,,,,,,,
ui,ui.toast.reloaded_story,Runtime UI text.,,シナリオ表をホットリロードしました。,,,,,,,
ui,ui.toast.reloaded_explore,Runtime UI text.,,探索ポイントをホットリロードしました。,,,,,,,
ui,ui.toast.reloaded_text,Runtime UI text.,,文言をホットリロードしました。,,,,,,,
ui,ui.toast.cannot_save_on_title,Runtime UI text.,,タイトル画面ではセーブできません。,,,,,,,
ui,ui.toast.empty_slot,Runtime UI text.,,スロット {0} にセーブはありません。,,,,,,,
ui,ui.toast.no_languages,Runtime UI text.,,言語設定がありません。,,,,,,,
ui,ui.toast.language_changed,Runtime UI text.,,言語：{0},,,,,,,
explore,explore.bed,Explore hotspot button label.,,ホットスポット仮文 01,,,,,,,
explore,explore.desk,Explore hotspot button label.,,ホットスポット仮文 02,,,,,,,
explore,explore.living_room,Explore hotspot button label.,,ホットスポット仮文 03,,,,,,,
explore,explore.entry,Explore hotspot button label.,,ホットスポット仮文 04,,,,,,,
explore,explore.tv,Explore hotspot button label.,,ホットスポット仮文 05,,,,,,,
explore,explore.back_to_bedroom,Explore hotspot button label.,,ホットスポット仮文 06,,,,,,,
explore,explore.front_door,Explore hotspot button label.,,外へ出る,,,,,,,
explore,explore.entry_to_living,Explore hotspot button label.,,ホットスポット仮文 08,,,,,,,
