category,key,description,speaker,text,portrait_slot,portrait_character,portrait_expression,portrait_facing,portrait_animation,portrait_path,note
system,game.title,Game title shown on the main menu.,,未许客,,,,,,,
ui,ui.main.start,Runtime UI text.,,开始游戏,,,,,,,
ui,ui.main.continue,Runtime UI text.,,继续游戏,,,,,,,
ui,ui.main.new_game,Runtime UI text.,,新游戏,,,,,,,
ui,ui.main.save_info_exists,Runtime UI text.,,"最新存档：槽位 {0} / {1}
主按钮会读取最新存档；新游戏会从剧本起点重新开始。",,,,,,,
ui,ui.main.save_info_empty,Runtime UI text.,,"本地存档：无
创建存档后，主按钮会自动从“开始游戏”变为“继续游戏”。",,,,,,,
ui,ui.common.settings,Runtime UI text.,,设置,,,,,,,
ui,ui.common.quit,Runtime UI text.,,退出,,,,,,,
ui,ui.common.exit,Runtime UI text.,,退出,,,,,,,
ui,ui.common.back,Runtime UI text.,,返回,,,,,,,
ui,ui.common.delete,Runtime UI text.,,删除,,,,,,,
ui,ui.hud.save,Runtime UI text.,,存档,,,,,,,
ui,ui.hud.load,Runtime UI text.,,读档,,,,,,,
ui,ui.hud.auto,Runtime UI text.,,自动,,,,,,,
ui,ui.hud.auto_on,Runtime UI text.,,自动中,,,,,,,
ui,ui.hud.skip,Runtime UI text.,,跳过,,,,,,,
ui,ui.hud.skip_on,Runtime UI text.,,跳过中,,,,,,,
ui,ui.hud.hide,Runtime UI text.,,隐藏,,,,,,,
ui,ui.hud.history,Runtime UI text.,,历史,,,,,,,
ui,ui.hud.title,Runtime UI text.,,标题,,,,,,,
ui,ui.dialogue.continue,Runtime UI text.,,点击或空格继续,,,,,,,
ui,ui.dialogue.choose,Runtime UI text.,,请选择,,,,,,,
ui,ui.dialogue.typing,Runtime UI text.,,显示中...,,,,,,,
ui,ui.dialogue.skipping,Runtime UI text.,,跳过中,,,,,,,
ui,ui.explore.title,Runtime UI text.,,选择调查地点,,,,,,,
ui,ui.history.title,Runtime UI text.,,历史文本,,,,,,,
ui,ui.history.empty,Runtime UI text.,,暂无历史文本。,,,,,,,
ui,ui.save.title,Runtime UI text.,,存档,,,,,,,
ui,ui.load.title,Runtime UI text.,,读档,,,,,,,
ui,ui.save.action,Runtime UI text.,,保存,,,,,,,
ui,ui.load.action,Runtime UI text.,,读取,,,,,,,
ui,ui.save.slot_empty,Runtime UI text.,,槽位 {0}  空,,,,,,,
